,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
269,29895,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BARREIRINHAS,Maranhao,BRAZIL,****,2007-07-21,11:45:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
270,32916,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,BARREIRINHAS,Maranhao,BRAZIL,****,2008-06-23,20:30:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,,,0,1,1.0,2016-07-30
271,51720,ACCIDENT,AIRCRAFTS COLLISION ON THE GROUND,BARREIRINHAS,Maranhao,BRAZIL,SSRS,2014-07-12,20:00:00,UNKNOWN,SERIPA-1,,,,,0,1,,2016-07-30
272,50808,ACCIDENT,SPATIAL UNAWARENESS,BRAGANÇA,Para,BRAZIL,****,2014-02-15,22:00:00,YES,SERIPA-1,IN PROGRESS,,,,0,1,,2016-07-30
273,44528,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,BREU BRANCO,Para,BRAZIL,****,2011-05-14,14:30:00,YES,SERIPA-1,FINISHED,,1.0,2013-09-10,1,1,,2016-07-30
274,50515,SERIOUS INCIDENT,LOSS OF CONTROL IN THE AIR,BARRA DO GARÇAS,Mato Grosso,BRAZIL,SBBW,2013-12-06,20:48:00,YES,SERIPA-6,FINISHED,,1.0,2015-02-09,0,1,,2016-07-30
275,46918,SERIOUS INCIDENT,FIRE DURING THE FLIGHT,IPIXUNA,Amazonas,BRAZIL,****,2013-01-26,15:00:00,YES,SERIPA-7,FINISHED,,1.0,2016-03-07,1,1,,2016-07-30
276,30677,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,BREVES,Para,BRAZIL,SNVS,2007-09-26,18:30:00,YES,SERIPA-1,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
277,51003,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,IRANDUBA,Amazonas,BRAZIL,****,2014-04-16,20:40:00,YES,SERIPA-7,FINISHED,,1.0,2014-11-24,0,1,,2016-07-30
278,45291,ACCIDENT,LOSS OF CONTROL IN THE AIR,IGUABA GRANDE,RJ,BRAZIL,****,2011-12-30,17:40:00,YES,SERIPA-3,FINISHED,,1.0,2014-08-22,1,1,,2016-07-30
279,28615,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ITABORAÍ,RJ,BRAZIL,****,2007-03-27,15:50:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
280,52975,ACCIDENT,LOSS OF CONTROL IN THE AIR,BRASNORTE,Mato Grosso,BRAZIL,****,2015-01-08,20:30:00,YES,SERIPA-6,IN PROGRESS,,,,0,1,,2016-07-30
281,45187,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,ITACOATIARA,Amazonas,BRAZIL,****,2011-10-18,19:50:00,YES,SERIPA-7,FINISHED,,1.0,2016-06-03,2,1,,2016-07-30
282,52814,ACCIDENT,LOSS OF CONTROL IN THE AIR,BOM JESUS,Piaui,BRAZIL,SNGG,2014-01-07,11:45:00,YES,SERIPA-2,IN PROGRESS,,,,0,1,,2016-07-30
283,52693,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BARRA DO RIBEIRO,Rio Grande do Sul,BRAZIL,****,2014-09-24,16:00:00,YES,SERIPA-5,FINISHED,,1.0,2015-04-30,0,1,,2016-07-30
284,53309,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ASSIS CHATEAUBRIAND,Parana,BRAZIL,****,2015-02-04,19:50:00,YES,SERIPA-5,FINISHED,,1.0,2015-10-19,0,1,,2016-07-30
285,46042,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARACATU,Bahia,BRAZIL,****,2012-07-02,10:45:00,YES,SERIPA-2,FINISHED,,1.0,2015-05-15,3,1,,2016-07-30
286,51032,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,CAICÓ,Rio Grande do Norte,BRAZIL,SNKK,2014-04-20,13:00:00,YES,SERIPA-2,FINISHED,,1.0,2015-07-21,0,1,1.0,2016-07-30
287,46588,ACCIDENT,ANOTHER TYPES,BALNEÁRIO CAMBORIÚ,Santa Catarina,BRAZIL,****,2012-11-03,14:00:00,UNKNOWN,SERIPA-5,,,,,0,1,,2016-07-30
288,46049,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ITAPIRANGA,Amazonas,BRAZIL,****,2012-05-23,20:20:00,YES,SERIPA-7,FINISHED,,1.0,2015-04-24,1,1,,2016-07-30
289,45487,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMETÁ,Para,BRAZIL,****,2012-02-16,12:30:00,YES,SERIPA-1,FINISHED,,1.0,2016-06-16,3,1,,2016-07-30
290,38176,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMETÁ,Para,BRAZIL,****,2009-06-26,17:00:00,YES,SERIPA-1,FINISHED,,1.0,2010-06-10,1,1,,2016-07-30
291,60612,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BENTO GONÇALVES,Rio Grande do Sul,BRAZIL,SSBG,2015-12-13,20:30:00,YES,SERIPA-5,IN PROGRESS,,,,0,1,,2016-07-30
292,28096,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BENTO GONÇALVES,Rio Grande do Sul,BRAZIL,****,2006-11-12,20:30:00,YES,SERIPA-5,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
293,45584,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,ESTÂNCIA,Sergipe,BRAZIL,SNOD,2012-02-19,15:10:00,YES,SERIPA-2,FINISHED,,1.0,2014-10-01,0,1,,2016-07-30
294,50983,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARAGUAÍNA,Tocantins,BRAZIL,****,2014-02-26,11:15:00,YES,SERIPA-6,FINISHED,,1.0,2014-08-22,0,1,,2016-07-30
